artist_id,artist_name,track_id,track_name,track_duration,track_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name,album_release_date
4UFShyUQuA8dguoZrqX0jQ,Luke Hemmings,05HbXpPp6masGfMCmtzuj5,Close Enough To Feel You,212133,56,0.432,0.669,-6.663,0.0351,0.119,0.175,0.0965,0.272,114.077,3Ry4DmajssDWHmThH2KseJ,boy,2024-04-26
4UFShyUQuA8dguoZrqX0jQ,Luke Hemmings,4TZu5RPN24MJ7AsGnF2vzq,Promises,271400,56,0.424,0.662,-7.646,0.0299,0.196,0.114,0.0816,0.147,102.072,3Ry4DmajssDWHmThH2KseJ,boy,2024-04-26
4UFShyUQuA8dguoZrqX0jQ,Luke Hemmings,36nTue5i0sz0k6eaywaZU6,Saigon,221611,54,0.605,0.649,-5.468,0.0304,0.0382,0.0,0.0939,0.418,117.05,5T1HI88OceUlUExSsAM3GQ,When Facing the Things We Turn Away From,2021-08-13
4UFShyUQuA8dguoZrqX0jQ,Luke Hemmings,1CODAIfeSTMzIgBK0S3H5S,Starting Line,270380,53,0.265,0.797,-5.311,0.0625,0.094,1.79e-05,0.134,0.209,119.508,5T1HI88OceUlUExSsAM3GQ,When Facing the Things We Turn Away From,2021-08-13
3e7awlrlDSwF3iM0WBjGMp,Galantis,4WKOsXGqZiG5ihoL5z2Ioa,Heartbreak Anthem,183725,52,0.595,0.784,-4.878,0.102,0.216,0.0,0.0608,0.479,124.111,5vegvIWwKcdSc8gYfirlgx,Rx,2024-05-17
3e7awlrlDSwF3iM0WBjGMp,Little Mix,6KHL1En9v6iNWjcs44mcmU,Secret Love Song (feat. Jason Derulo),249810,73,0.529,0.614,-5.032,0.0479,0.215,0.0,0.277,0.141,92.972,2FnfZiFMv7bmXAIATOJDHs,Get Weird (Expanded Edition),2015-11-06
3e7awlrlDSwF3iM0WBjGMp,Little Mix,6rmXhRIemCTPyMYZRDN7Qg,Black Magic,211786,73,0.776,0.875,-5.535,0.0575,0.0343,0.0,0.314,0.849,111.988,2FnfZiFMv7bmXAIATOJDHs,Get Weird (Expanded Edition),2015-11-06
3e7awlrlDSwF3iM0WBjGMp,Little Mix,0ErK6K0kYr0Ow2RkPMhmMs,Shout Out to My Ex,246240,72,0.773,0.747,-4.061,0.0885,0.0242,8.99e-06,0.109,0.801,126.014,4w49hcqZt66HZX0MJHfW0m,Glory Days (Expanded Edition),2016-11-18
3e7awlrlDSwF3iM0WBjGMp,Little Mix,0lUSd7TCG8srh6HpIAEIWL,Power,247840,71,0.566,0.855,-4.016,0.211,0.0372,0.000157,0.181,0.517,172.966,4w49hcqZt66HZX0MJHfW0m,Glory Days (Expanded Edition),2016-11-18
3e7awlrlDSwF3iM0WBjGMp,Little Mix,6L2uVVPJA9WcDc7zCZ4DHN,Love Me Like You,197786,69,0.783,0.63,-4.985,0.044,0.211,0.0,0.3,0.822,106.053,2FnfZiFMv7bmXAIATOJDHs,Get Weird (Expanded Edition),2015-11-06
3e7awlrlDSwF3iM0WBjGMp,CNCO,58gqyeFXhOttZW3yetJGPN,Reggaetón Lento (Remix),188800,64,0.534,0.911,-3.086,0.0852,0.15,0.0,0.0986,0.624,93.767,0YCyFUN3ihGbP2x9C09NF6,CNCO,2018-04-06
3e7awlrlDSwF3iM0WBjGMp,Little Mix,222B3aljXx6fFwKmFjuBED,Woman Like Me (feat. Nicki Minaj),229720,65,0.754,0.854,-3.449,0.0608,0.177,0.0,0.0808,0.8,75.002,7Ho8gAx4haSxv1eFLQwvTj,LM5 (Deluxe),2018-11-16
3e7awlrlDSwF3iM0WBjGMp,Little Mix,1gG5MoWK5SmHUcQPa2jxdP,Touch,213306,65,0.606,0.718,-4.094,0.0978,0.032,0.0,0.402,0.551,101.821,4w49hcqZt66HZX0MJHfW0m,Glory Days (Expanded Edition),2016-11-18
3e7awlrlDSwF3iM0WBjGMp,Little Mix,1n73Qe6oEprLsUNHXET2pb,Love Me or Leave Me,206493,65,0.437,0.351,-6.823,0.0313,0.566,0.0,0.0888,0.383,68.659,2FnfZiFMv7bmXAIATOJDHs,Get Weird (Expanded Edition),2015-11-06
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso, Florida Georgia Line & watt)",174800,74,0.664,0.708,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,3ggBBGRhkDVAu7pQRXRPXO,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017-09-08
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,4Ce37cRWvM1vIGGynKcs22,Starving,181880,73,0.728,0.616,-4.238,0.0645,0.378,0.0,0.105,0.508,99.962,18pR217SWwBjODSRWFBw0I,Starving,2016-07-22
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,36phXHOKx8rO7CMp2vNX4x,Love Myself,218773,68,0.617,0.759,-6.785,0.0678,0.0026,0.0,0.419,0.324,122.924,1ABRc0UFHY3x6rKQeFBTQ0,HAIZ,2016-02-26
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,6l0Ky2PycJV1Bz88kFeVGL,Capital Letters,219373,66,0.667,0.814,-5.529,0.0736,0.0337,8.27e-06,0.0518,0.463,99.911,4w0N1CaZwQ5RPIuawqlYyy,Fifty Shades Freed (Original Motion Picture Soundtrack),2018-02-09
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,1l4iQsOZ5sOXZPMQLvouaB,Coast (feat. Anderson .Paak),166720,66,0.727,0.832,-5.153,0.0495,0.0125,9.96e-06,0.116,0.813,111.988,0152qvGv0mmX2vU36Rocng,Coast,2022-07-29
